Time,Signal_uV
0,-0.185
0.0078125,-0.105
0.015625,-0.145
0.0234375,-0.145
0.03125,-0.155
0.0390625,-0.175
0.046875,-0.165
0.0546875,-0.115
0.0625,-0.045
0.0703125,-0.095
0.078125,-0.135
0.0859375,-0.095
0.09375,-0.065
0.1015625,-0.105
0.109375,-0.105
0.1171875,-0.035
0.125,-0.025
0.1328125,-0.015
0.140625,-0.015
0.1484375,-0.045
0.15625,-0.025
0.1640625,0.025
0.171875,0.005
0.1796875,0.025
0.1875,-0.055
0.1953125,-0.095
0.203125,-0.255
0.2109375,-0.245
0.21875,-0.285
0.2265625,-0.285
0.234375,-0.275
0.2421875,-0.275
0.25,-0.255
0.2578125,-0.365
0.265625,-0.305
0.2734375,-0.235
0.28125,-0.305
0.2890625,-0.535
0.296875,0.035
0.3046875,1.155
0.3125,2.015
0.3203125,1.585
0.328125,-0.055
0.3359375,-0.765
0.34375,-0.705
0.3515625,-0.475
0.359375,-0.435
0.3671875,-0.435
0.375,-0.495
0.3828125,-0.465
0.390625,-0.385
0.3984375,-0.335
0.40625,-0.295
0.4140625,-0.375
0.421875,-0.355
0.4296875,-0.335
0.4375,-0.395
0.4453125,-0.345
0.453125,-0.315
0.4609375,-0.285
0.46875,-0.235
0.4765625,-0.255
0.484375,-0.255
0.4921875,-0.155
0.5,-0.055
0.5078125,-0.115
0.515625,-0.125
0.5234375,-0.265
0.53125,-0.015
0.5390625,0.135
0.546875,-0.065
0.5546875,0.015
0.5625,0.115
0.5703125,-0.015
0.578125,-0.245
0.5859375,-0.355
0.59375,-0.325
0.6015625,-0.345
0.609375,-0.455
0.6171875,-0.405
0.625,-0.375
0.6328125,-0.325
0.640625,-0.315
0.6484375,-0.415
0.65625,-0.335
0.6640625,-0.235
0.671875,-0.285
0.6796875,-0.335
0.6875,-0.235
0.6953125,-0.335
0.703125,-0.285
0.7109375,-0.205
0.71875,-0.165
0.7265625,-0.095
0.734375,-0.205
0.7421875,-0.255
0.75,-0.195
0.7578125,-0.045
0.765625,-0.115
0.7734375,-0.095
0.78125,-0.205
0.7890625,-0.325
0.796875,-0.445
0.8046875,-0.375
0.8125,-0.395
0.8203125,-0.485
0.828125,-0.505
0.8359375,-0.445
0.84375,-0.405
0.8515625,-0.355
0.859375,-0.315
0.8671875,-0.255
0.875,-0.315
0.8828125,-0.375
0.890625,0.435
0.8984375,1.585
0.90625,2.125
0.9140625,1.335
0.921875,-0.215
0.9296875,-0.585
0.9375,-0.425
0.9453125,-0.325
0.953125,-0.275
0.9609375,-0.285
0.96875,-0.325
0.9765625,-0.355
0.984375,-0.265
0.9921875,-0.285
1,-0.275
1.0078125,-0.315
1.015625,-0.265
1.0234375,-0.275
1.03125,-0.255
1.0390625,-0.275
1.046875,-0.295
1.0546875,-0.205
1.0625,-0.175
1.0703125,-0.205
1.078125,-0.225
1.0859375,-0.245
1.09375,-0.055
1.1015625,0.015
1.109375,-0.045
1.1171875,-0.005
1.125,0.055
1.1328125,0.085
1.140625,0.075
1.1484375,0.045
1.15625,0.055
1.1640625,-0.135
1.171875,-0.185
1.1796875,-0.195
1.1875,-0.205
1.1953125,-0.255
1.203125,-0.285
1.2109375,-0.295
1.21875,-0.235
1.2265625,-0.305
1.234375,-0.285
1.2421875,-0.275
1.25,-0.215
1.2578125,-0.175
1.265625,-0.205
1.2734375,-0.255
1.28125,-0.285
1.2890625,-0.195
1.296875,-0.025
1.3046875,-0.025
1.3125,-0.135
1.3203125,-0.025
1.328125,-0.065
1.3359375,-0.165
1.34375,-0.085
1.3515625,-0.095
1.359375,-0.135
1.3671875,-0.255
1.375,-0.235
1.3828125,-0.255
1.390625,-0.415
1.3984375,-0.565
1.40625,-0.395
1.4140625,-0.345
1.421875,-0.405
1.4296875,-0.435
1.4375,-0.375
1.4453125,-0.435
1.453125,-0.685
1.4609375,-0.535
1.46875,0.785
1.4765625,1.835
1.484375,2.055
1.4921875,0.275
1.5,-0.745
1.5078125,-0.645
1.515625,-0.405
1.5234375,-0.395
1.53125,-0.375
1.5390625,-0.305
1.546875,-0.195
1.5546875,-0.285
1.5625,-0.265
1.5703125,-0.245
1.578125,-0.205
1.5859375,-0.175
1.59375,-0.155
1.6015625,-0.145
1.609375,-0.095
1.6171875,-0.095
1.625,-0.065
1.6328125,-0.025
1.640625,-0.015
1.6484375,-0.035
1.65625,0.045
1.6640625,0.145
1.671875,0.145
1.6796875,0.165
1.6875,0.205
1.6953125,0.245
1.703125,0.135
1.7109375,0.285
1.71875,0.305
1.7265625,0.235
1.734375,0.175
1.7421875,0.145
1.75,0.105
1.7578125,0.025
1.765625,0.015
1.7734375,0.015
1.78125,0.065
1.7890625,-0.015
1.796875,-0.045
1.8046875,-0.045
1.8125,-0.065
1.8203125,0.055
1.828125,0.085
1.8359375,-0.015
1.84375,0.015
1.8515625,0.095
1.859375,0.115
1.8671875,0.165
1.875,0.185
1.8828125,0.155
1.890625,0.075
1.8984375,0.035
1.90625,0.185
1.9140625,0.095
1.921875,0.125
1.9296875,0.105
1.9375,-0.005
1.9453125,-0.005
1.953125,-0.065
1.9609375,-0.095
1.96875,-0.085
1.9765625,-0.155
1.984375,-0.075
1.9921875,-0.035
2,-0.145
2.0078125,-0.075
2.015625,-0.065
2.0234375,-0.225
2.03125,-0.365
2.0390625,0.315
2.046875,1.415
2.0546875,2.225
2.0625,1.365
2.0703125,-0.095
2.078125,-0.395
2.0859375,-0.265
2.09375,-0.065
2.1015625,-0.035
2.109375,-0.085
2.1171875,0.145
2.125,-0.035
2.1328125,-0.065
2.140625,-0.015
2.1484375,0.025
2.15625,0.045
2.1640625,0.055
2.171875,0.065
2.1796875,0.085
2.1875,0.125
2.1953125,0.145
2.203125,0.165
2.2109375,0.185
2.21875,0.205
2.2265625,0.235
2.234375,0.245
2.2421875,0.275
2.25,0.315
2.2578125,0.345
2.265625,0.355
2.2734375,0.345
2.28125,0.355
2.2890625,0.355
2.296875,0.345
2.3046875,0.315
2.3125,0.315
2.3203125,0.265
2.328125,0.225
2.3359375,0.205
2.34375,0.185
2.3515625,0.155
2.359375,0.155
2.3671875,0.145
2.375,0.155
2.3828125,0.145
2.390625,0.115
2.3984375,0.155
2.40625,0.165
2.4140625,0.165
2.421875,0.185
2.4296875,0.265
2.4375,0.265
2.4453125,0.295
2.453125,0.295
2.4609375,0.235
2.46875,0.235
2.4765625,0.205
2.484375,0.165
2.4921875,0.145
2.5,0.085
2.5078125,0.005
2.515625,-0.015
2.5234375,-0.065
2.53125,-0.085
2.5390625,-0.095
2.546875,-0.105
2.5546875,-0.115
2.5625,-0.095
2.5703125,-0.045
2.578125,-0.005
2.5859375,-0.015
2.59375,-0.135
2.6015625,-0.225
2.609375,0.555
2.6171875,1.645
2.625,2.185
2.6328125,1.095
2.640625,-0.245
2.6484375,-0.455
2.65625,-0.235
2.6640625,-0.085
2.671875,-0.095
2.6796875,-0.095
2.6875,-0.075
2.6953125,-0.035
2.703125,-0.095
2.7109375,-0.095
2.71875,-0.085
2.7265625,-0.035
2.734375,-0.065
2.7421875,-0.045
2.75,-0.025
2.7578125,-0.005
2.765625,-0.005
2.7734375,-0.005
2.78125,0.015
2.7890625,0.055
2.796875,0.075
2.8046875,0.085
2.8125,0.105
2.8203125,0.155
2.828125,0.215
2.8359375,0.235
2.84375,0.255
2.8515625,0.245
2.859375,0.195
2.8671875,0.165
2.875,0.125
2.8828125,0.035
2.890625,-0.015
2.8984375,-0.135
2.90625,0.025
2.9140625,-0.125
2.921875,-0.205
2.9296875,-0.185
2.9375,-0.175
2.9453125,-0.185
2.953125,-0.175
2.9609375,-0.135
2.96875,-0.125
2.9765625,-0.145
2.984375,-0.125
2.9921875,-0.055
3,-0.005
3.0078125,-0.015
3.015625,-0.035
3.0234375,-0.065
3.03125,-0.085
3.0390625,-0.035
3.046875,-0.045
3.0546875,-0.065
3.0625,-0.155
3.0703125,-0.235
3.078125,-0.285
3.0859375,-0.325
3.09375,-0.345
3.1015625,-0.375
3.109375,-0.385
3.1171875,-0.375
3.125,-0.365
3.1328125,-0.405
3.140625,-0.425
3.1484375,-0.385
3.15625,-0.485
3.1640625,-0.715
3.171875,-0.105
3.1796875,1.115
3.1875,1.975
3.1953125,1.385
3.203125,-0.405
3.2109375,-0.905
3.21875,-0.785
3.2265625,-0.605
3.234375,-0.515
3.2421875,-0.505
3.25,-0.485
3.2578125,-0.485
3.265625,-0.475
3.2734375,-0.445
3.28125,-0.435
3.2890625,-0.435
3.296875,-0.455
3.3046875,-0.465
3.3125,-0.455
3.3203125,-0.435
3.328125,-0.425
3.3359375,-0.415
3.34375,-0.415
3.3515625,-0.385
3.359375,-0.345
3.3671875,-0.325
3.375,-0.255
3.3828125,-0.225
3.390625,-0.175
3.3984375,-0.125
3.40625,-0.085
3.4140625,-0.085
3.421875,-0.105
3.4296875,-0.145
3.4375,-0.205
3.4453125,-0.275
3.453125,-0.365
3.4609375,-0.405
3.46875,-0.435
3.4765625,-0.445
3.484375,-0.455
3.4921875,-0.455
3.5,-0.455
3.5078125,-0.485
3.515625,-0.435
3.5234375,-0.455
3.53125,-0.465
3.5390625,-0.465
3.546875,-0.425
3.5546875,-0.395
3.5625,-0.385
3.5703125,-0.305
3.578125,-0.315
3.5859375,-0.295
3.59375,-0.245
3.6015625,-0.195
3.609375,-0.235
3.6171875,-0.215
3.625,-0.315
3.6328125,-0.365
3.640625,-0.375
3.6484375,-0.395
3.65625,-0.405
3.6640625,-0.395
3.671875,-0.375
3.6796875,-0.365
3.6875,-0.335
3.6953125,-0.335
3.703125,-0.295
3.7109375,-0.305
3.71875,-0.565
3.7265625,-0.335
3.734375,0.745
3.7421875,1.875
3.75,2.185
3.7578125,0.405
3.765625,-0.645
3.7734375,-0.615
3.78125,-0.385
3.7890625,-0.255
3.796875,-0.225
3.8046875,-0.215
3.8125,-0.225
3.8203125,-0.225
3.828125,-0.215
3.8359375,-0.185
3.84375,-0.175
3.8515625,-0.185
3.859375,-0.165
3.8671875,-0.185
3.875,-0.165
3.8828125,-0.135
3.890625,-0.125
3.8984375,-0.105
3.90625,-0.095
3.9140625,-0.055
3.921875,-0.035
3.9296875,0.015
3.9375,0.065
3.9453125,0.105
3.953125,0.135
3.9609375,0.165
3.96875,0.175
3.9765625,0.165
3.984375,0.165
3.9921875,0.105
4,0.045
4.0078125,-0.015
4.015625,-0.065
4.0234375,-0.105
4.03125,-0.105
4.0390625,-0.125
4.046875,-0.135
4.0546875,-0.135
4.0625,-0.145
4.0703125,-0.135
4.078125,-0.135
4.0859375,-0.135
4.09375,-0.125
4.1015625,-0.105
4.109375,-0.105
4.1171875,-0.085
4.125,-0.075
4.1328125,-0.055
4.140625,0.015
4.1484375,0.045
4.15625,0.065
4.1640625,0.065
4.171875,0.045
4.1796875,0.075
4.1875,0.145
4.1953125,0.125
4.203125,0.085
4.2109375,0.025
4.21875,-0.025
4.2265625,-0.075
4.234375,-0.105
4.2421875,-0.145
4.25,-0.165
4.2578125,-0.165
4.265625,-0.155
4.2734375,-0.165
4.28125,-0.155
4.2890625,-0.155
4.296875,-0.095
4.3046875,-0.235
4.3125,-0.365
4.3203125,0.425
4.328125,1.565
4.3359375,2.305
4.34375,1.515
4.3515625,-0.275
4.359375,-0.615
4.3671875,-0.375
4.375,-0.205
4.3828125,-0.185
4.390625,-0.185
4.3984375,-0.155
4.40625,-0.155
4.4140625,-0.145
4.421875,-0.135
4.4296875,-0.145
4.4375,-0.125
4.4453125,-0.125
4.453125,-0.125
4.4609375,-0.115
4.46875,-0.105
4.4765625,-0.085
4.484375,-0.075
4.4921875,-0.055
4.5,-0.025
4.5078125,0.005
4.515625,0.035
4.5234375,0.065
4.53125,0.115
4.5390625,0.155
4.546875,0.175
4.5546875,0.195
4.5625,0.215
4.5703125,0.205
4.578125,0.185
4.5859375,0.125
4.59375,0.075
4.6015625,0.005
4.609375,-0.035
4.6171875,-0.075
4.625,-0.095
4.6328125,-0.115
4.640625,-0.125
4.6484375,-0.115
4.65625,-0.095
4.6640625,-0.085
4.671875,-0.115
4.6796875,-0.095
4.6875,-0.095
4.6953125,-0.095
4.703125,-0.135
4.7109375,-0.085
4.71875,-0.095
4.7265625,-0.105
4.734375,-0.095
4.7421875,-0.105
4.75,-0.095
4.7578125,-0.095
4.765625,-0.105
4.7734375,-0.075
4.78125,-0.055
4.7890625,-0.085
4.796875,-0.075
4.8046875,-0.105
4.8125,-0.095
4.8203125,-0.075
4.828125,-0.135
4.8359375,-0.105
4.84375,-0.155
4.8515625,-0.265
4.859375,-0.305
4.8671875,-0.355
4.875,-0.405
4.8828125,-0.415
4.890625,-0.425
4.8984375,-0.415
4.90625,-0.405
4.9140625,-0.415
4.921875,-0.445
4.9296875,-0.395
4.9375,-0.505
4.9453125,-0.575
4.953125,0.135
4.9609375,1.195
4.96875,1.855
4.9765625,0.845
4.984375,-0.545
4.9921875,-0.845
5,-0.675
5.0078125,-0.515
5.015625,-0.465
5.0234375,-0.445
5.03125,-0.445
5.0390625,-0.445
5.046875,-0.415
5.0546875,-0.415
5.0625,-0.375
5.0703125,-0.355
5.078125,-0.345
5.0859375,-0.365
5.09375,-0.315
5.1015625,-0.305
5.109375,-0.295
5.1171875,-0.255
5.125,-0.195
5.1328125,-0.145
5.140625,-0.175
5.1484375,-0.115
5.15625,-0.035
5.1640625,-0.025
5.171875,0.015
5.1796875,0.055
5.1875,0.095
5.1953125,0.105
5.203125,0.095
5.2109375,0.065
5.21875,0.005
5.2265625,-0.065
5.234375,-0.125
5.2421875,-0.165
5.25,-0.215
5.2578125,-0.225
5.265625,-0.215
5.2734375,-0.205
5.28125,-0.205
5.2890625,-0.205
5.296875,-0.195
5.3046875,-0.195
5.3125,-0.175
5.3203125,-0.195
5.328125,-0.175
5.3359375,-0.175
5.34375,-0.145
5.3515625,-0.115
5.359375,-0.095
5.3671875,-0.095
5.375,-0.065
5.3828125,-0.105
5.390625,-0.095
5.3984375,-0.135
5.40625,-0.105
5.4140625,-0.105
5.421875,-0.095
5.4296875,-0.125
5.4375,-0.135
5.4453125,-0.095
5.453125,-0.155
5.4609375,-0.135
5.46875,-0.025
5.4765625,0.015
5.484375,0.005
5.4921875,-0.035
5.5,-0.055
5.5078125,0.015
5.515625,0.065
5.5234375,0.025
5.53125,0.035
5.5390625,-0.085
5.546875,-0.195
5.5546875,-0.165
5.5625,-0.165
5.5703125,-0.225
5.578125,-0.255
5.5859375,-0.255
5.59375,-0.265
